"id";"user";"username";"avatar";"studentID";"content";"create_time"
"89";"oHIiA4gaLsdA2ZSRfk32gQigsRag";"xhr";"https://wx.qlogo.cn/mmopen/vi_32/5m8uhsj3FL2XhlIFk9OLDRe3loGnFmF1lPFQmncmcLnxmk4YlQ46mA6dZwkNDfmYjVz0pEf76Gp8KtNoTsINow/132";"B18150124";"[""栈/队列"",1,1,1,1,1,1,3,0,2,""书上有一些c++的数据类型""]";"2019-03-20 12:22:25"
"90";"oHIiA4tlLQoh2cvbjBWmauo2yv8M";"Kiki";"https://wx.qlogo.cn/mmopen/vi_32/Q0j4TwGTfTKLhCmNDoKoXsKusQ2zTicvacQrAxjtr2Eom11iaX2l7CwsSX2niawVDicibKUSO6rQdZZEO4jE2IHc8Gw/132";"B18150107";"[""栈/队列"",1,0,0,1,1,1,2,0,4,""如何将递归函数的逻辑思维转换成公式""]";"2019-03-20 14:59:58"
"91";"oHIiA4lzfQZK3wvs3iQFzb-KxH4U";"妃子不疯狂";"https://wx.qlogo.cn/mmopen/vi_32/Q0j4TwGTfTKYfEJ7BbjJknq3JP2GvtvR6qPs2Y665tkBjB9uzmKcGIsWoia6h5P7dYfw7syyplUxk0ptbNPrz2Q/132";"B18150226";"[""栈/队列"",0,1,1,1,1,2,2,2,4,""要好好复习，多提出问题""]";"2019-03-20 15:00:53"
"92";"oHIiA4kut5sTsgeV5mUFmiMlL4j8";"落魄的污妖王";"https://wx.qlogo.cn/mmopen/vi_32/agUicKIy7jpHB8ZsZuqE51HDzBlORibZxOdWx1QdDJxoibHWDnTlXrueT6b7y9MfevMLibAdwtRmqPUqy48x59U7fQ/132";"B18150213";"[""栈/队列"",1,1,0,1,1,2,2,0,4,""希望老师多多在课上实际打代码""]";"2019-03-20 15:34:17"
"93";"oHIiA4rObnsKoNjoNTwAaEGKgTNs";"金银座";"https://wx.qlogo.cn/mmopen/vi_32/Q0j4TwGTfTIjZLu7uoOyNIeDLbRFspqwIY3U5XpcCYTCJAnxBWTTgeiah46p0CwB6RziaGAwc3MZHrhJ3PoMbkZg/132";"B18150321";"[""栈/队列"",1,1,1,1,2,0,2,1,2,""队列没看懂\n后缀的计算还是不熟悉""]";"2019-03-20 15:40:08"
"94";"oHIiA4mRJaMkPOjdUTZIU0lc1QNc";"寒暄二三";"https://wx.qlogo.cn/mmopen/vi_32/Kiam0BsEKCEaFAUAvI1bDXasmaibAnqN0RDShhnZ3oMNvuThaseHsx3efZ1TADrRQhvZmmI1etV0rCCUlibpPDZ0g/132";"B18150421";"[""栈/队列"",1,0,1,1,2,0,0,0,3,""姜玻老师复习很好，为人和蔼，问问题看学生能说多少说多少，不置评论，亲自补充，棒""]";"2019-03-20 15:47:49"
"95";"oHIiA4jAZ1jwZiRBrdqqRQLPEhMw";"张嘉龙";"https://wx.qlogo.cn/mmopen/vi_32/DYAIOgq83epL6XhTOricicr82OtO4L7dUPrBeLkHClwRqtadadCkJNKWDfKMF8bPvJwqBRZiaoAvuKFVAQGMQMhfw/132";"B18150325";"[""栈/队列"",1,1,1,1,1,2,2,1,3,""代码不熟，中缀转后缀还要练习""]";"2019-03-20 16:10:55"
"96";"oHIiA4lxNGNd16azfhf-9nwBPguU";"Q。W";"https://wx.qlogo.cn/mmopen/vi_32/o1bWGwVu42c0A4nk7bqSWeRuplLOicp3yf5QkIqUIIStoeCicNic7WNxzW1GcVPTvKTlWiba4bRnpszibLibKVZTB4YA/132";"B18150410";"[""栈/队列"",1,0,1,1,2,1,0,1,4,""这节课上得很愉快!!!!""]";"2019-03-20 17:03:11"
"97";"oHIiA4v6KLP4Bud4512EzvU-QRl0";"Qiang";"https://wx.qlogo.cn/mmopen/vi_32/bicAoialY3XhtQYeJf9cPj1j9e61Z0BtcXSDM8V6dpziaKIEAjIYjnfStsQ99GAzbwsrKECg0XzUtBTngTpW4icEKg/132";"B18150122";"[""栈/队列"",1,0,0,1,1,1,3,1,4,""这节课我没有特别难以理解的地方""]";"2019-03-20 23:04:28"
